id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,xd,22,F,46.0,80,189,794,376,598,271,1,1,
1,xd,22,F,46.0,80,405,695,405,695,271,1,1,1
2,xd,22,F,46.0,80,338,880,338,880,271,2,2,
3,xd,22,F,46.0,80,185,739,418,600,271,2,2,2
4,xd,22,F,46.0,80,490,788,365,719,143,3,1,
5,xd,22,F,46.0,80,211,869,211,869,143,3,1,2
6,xd,22,F,46.0,80,212,688,212,688,271,4,2,
7,xd,22,F,46.0,80,309,879,195,633,271,4,2,2
8,xd,22,F,46.0,80,610,1022,385,871,271,5,1,
9,xd,22,F,46.0,80,202,680,202,680,271,5,1,1
10,xd,22,F,46.0,80,353,844,291,715,143,6,1,
11,xd,22,F,46.0,80,205,706,205,706,143,6,1,1
12,xd,22,F,46.0,80,396,849,396,849,143,7,2,
13,xd,22,F,46.0,80,184,892,314,833,143,7,2,1
14,xd,22,F,46.0,80,267,700,267,700,271,8,2,
15,xd,22,F,46.0,80,470,773,199,770,271,8,2,2
16,xd,22,F,46.0,80,185,977,185,977,271,9,2,
17,xd,22,F,46.0,80,579,953,457,711,271,9,2,1
18,xd,22,F,46.0,80,188,705,573,600,399,10,1,
19,xd,22,F,46.0,80,299,798,299,798,399,10,1,1
20,xd,22,F,46.0,80,572,884,194,757,399,11,1,
21,xd,22,F,46.0,80,210,786,210,786,399,11,1,1
22,xd,22,F,46.0,80,453,782,192,708,271,12,1,
23,xd,22,F,46.0,80,197,870,197,870,271,12,1,1
24,xd,22,F,46.0,80,575,948,575,948,271,13,2,
25,xd,22,F,46.0,80,469,705,201,665,271,13,2,2
26,xd,22,F,46.0,80,624,886,484,857,143,14,1,
27,xd,22,F,46.0,80,268,804,268,804,143,14,1,1
28,xd,22,F,46.0,80,589,872,496,981,143,15,1,
29,xd,22,F,46.0,80,368,777,368,777,143,15,1,2
30,xd,22,F,46.0,80,179,921,179,921,207,16,2,
31,xd,22,F,46.0,80,570,1046,484,858,207,16,2,2
32,xd,22,F,46.0,80,551,792,551,792,207,17,2,
33,xd,22,F,46.0,80,204,684,393,600,207,17,2,1
34,xd,22,F,46.0,80,538,694,538,694,271,18,2,
35,xd,22,F,46.0,80,184,690,439,599,271,18,2,2
36,xd,22,F,46.0,80,426,791,426,791,271,19,2,
37,xd,22,F,46.0,80,612,877,344,840,271,19,2,2
38,xd,22,F,46.0,80,495,707,301,636,207,20,1,
39,xd,22,F,46.0,80,347,877,347,877,207,20,1,2
40,xd,22,F,46.0,80,611,955,494,711,271,21,1,
41,xd,22,F,46.0,80,575,691,575,691,271,21,1,2
42,xd,22,F,46.0,80,192,690,515,602,335,22,1,
43,xd,22,F,46.0,80,323,864,323,864,335,22,1,1
44,xd,22,F,46.0,80,573,692,573,692,335,23,2,
45,xd,22,F,46.0,80,282,866,484,599,335,23,2,2
46,xd,22,F,46.0,80,603,903,603,903,271,24,2,
47,xd,22,F,46.0,80,442,709,573,946,271,24,2,2
48,xd,22,F,46.0,80,573,858,330,978,271,25,1,
49,xd,22,F,46.0,80,319,705,319,705,271,25,1,1
50,xd,22,F,46.0,80,545,835,367,730,207,26,1,
51,xd,22,F,46.0,80,254,835,254,835,207,26,1,1
52,xd,22,F,46.0,80,593,726,593,726,207,27,2,
53,xd,22,F,46.0,80,205,985,345,832,207,27,2,1
54,xd,22,F,46.0,80,559,687,575,958,271,28,1,
55,xd,22,F,46.0,80,438,854,438,854,271,28,1,1
56,xd,22,F,46.0,80,182,1048,351,836,271,29,1,
57,xd,22,F,46.0,80,195,717,195,717,271,29,1,2
58,xd,22,F,46.0,80,426,714,223,980,335,30,1,
59,xd,22,F,46.0,80,597,879,597,879,335,30,1,1
60,xd,22,F,46.0,80,278,774,565,602,335,31,1,
61,xd,22,F,46.0,80,459,734,459,734,335,31,1,1
62,xd,22,F,46.0,80,244,747,244,747,303,32,2,
63,xd,22,F,46.0,80,601,825,321,709,303,32,2,2
64,xd,22,F,46.0,80,191,684,191,684,303,33,2,
65,xd,22,F,46.0,80,569,699,457,980,303,33,2,2
66,xd,22,F,46.0,80,499,881,499,881,271,34,2,
67,xd,22,F,46.0,80,213,686,470,600,271,34,2,2
68,xd,22,F,46.0,80,195,880,463,838,271,35,1,
69,xd,22,F,46.0,80,361,729,361,729,271,35,1,1
70,xd,22,F,46.0,80,626,978,457,809,239,36,1,
71,xd,22,F,46.0,80,428,718,428,718,239,36,1,2
72,xd,22,F,46.0,80,243,827,510,783,271,37,1,
73,xd,22,F,46.0,80,496,769,496,769,271,37,1,1
74,xd,22,F,46.0,80,177,694,177,694,271,38,2,
75,xd,22,F,46.0,80,538,1024,524,753,271,38,2,2
76,xd,22,F,46.0,80,295,681,295,681,239,39,2,
77,xd,22,F,46.0,80,394,850,192,722,239,39,2,2
78,xd,22,F,46.0,80,532,700,532,700,239,40,2,
79,xd,22,F,46.0,80,476,879,436,643,239,40,2,1
80,xd,22,F,46.0,80,561,706,561,706,271,41,2,
81,xd,22,F,46.0,80,423,860,193,716,271,41,2,2
82,xd,22,F,46.0,80,239,753,239,753,271,42,2,
83,xd,22,F,46.0,80,583,911,316,866,271,42,2,2
84,xd,22,F,46.0,80,485,707,485,707,239,43,2,
85,xd,22,F,46.0,80,594,885,390,760,239,43,2,1
86,xd,22,F,46.0,29,306,819,166,664,209,1,1,
87,xd,22,F,46.0,29,436,680,436,680,209,1,1,1
88,xd,22,F,46.0,29,418,903,418,903,209,2,2,
89,xd,22,F,46.0,29,343,727,193,582,209,2,2,1
90,xd,22,F,46.0,29,167,874,374,676,286,3,1,
91,xd,22,F,46.0,29,236,696,236,696,286,3,1,2
92,xd,22,F,46.0,29,521,802,521,802,363,4,2,
93,xd,22,F,46.0,29,387,673,602,966,363,4,2,2
94,xd,22,F,46.0,29,266,891,266,891,363,5,2,
